"仕入先コード","法人番号","検索カナ","略称","仕入先名","仕入先名2","郵便番号","住所１","住所２","住所３","電話番号","FAX番号","先方部署名","先方役職名","先方担当者名","メールアドレス","HPアドレス","敬称","取引先分類（営業日報FのKey）","分類２コード","分類３コード","分類４コード","分類５コード","部門コード","主担当者コード","摘要","発注書形式","仕入書形式","支払先コード","支払先管理","汎用数値１","汎用数値２","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５","取引区分 1:取引中 2:取引終了","適格事業者番号","適格返還仕入書形式","支払書形式","支払締方法","支払締日１","支払締日２","支払締日３","支払予定月１","支払予定日１","支払予定月２","支払予定日２","支払予定月３","支払予定日３","支払パターン","支払パターン変更額","支払パターン割合","支払種別１","支払方法１","支払種別２","支払方法２","支払種別３","支払方法３","導入時支払締日","導入時支払締日残高","前月末残高","消費税区分 0:非課税 2:税抜","税額端数桁 「1」を入力する","税額端数処理3:四捨五入","税額計算単位 3:支払書を入力する","税額通知単位 3:支払書を入力する","金額端数桁","金額端数処理","相殺先コード","法人銀行コード","振込手数料負担","振込先銀行コード","振込先銀行支店コード","振込先銀行預金種別","振込先銀行口座番号","振込先銀行口座ﾌﾘｶﾞﾅ","振込先銀行口座名義","振込先銀行振込指定","適格請求書計算","でんさいネット利用者番号","電債銀行コード","電債銀行支店コード","電債銀行預金種別","電債銀行口座番号","電債銀行口座ﾌﾘｶﾞﾅ","電債銀行口座名義","支払期日日数"
"00014","",ｼ000,仕00014,仕00014,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00014",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00017","",ｼ000,仕00017,仕00017,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00017",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00020","",ｼ000,仕00020,仕00020,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00020",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00026","",ｼ000,仕00026,仕00026,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00026",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00029","",ｼ000,仕00029,仕00029,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00029",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00033","",ｼ000,仕00033,仕00033,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00033",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00037","",ｼ000,仕00037,仕00037,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00037",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00038","",ｼ000,仕00038,仕00038,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00038",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00040","",ｼ000,仕00040,仕00040,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00040",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,54540.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00050","",ｼ000,仕00050,仕00050,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00050",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00054","",ｼ000,仕00054,仕00054,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00054",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",55200.0000,19764.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00055","",ｼ000,仕00055,仕00055,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00055",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00059","",ｼ000,仕00059,仕00059,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00059",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",50400.0000,76788.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00060","",ｼ000,仕00060,仕00060,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00060",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",280000.0000,151200.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00061","",ｼ000,仕00061,仕00061,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00061",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00065","",ｼ000,仕00065,仕00065,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00065",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00069","",ｼ000,仕00069,仕00069,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00069",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00071","",ｼ000,仕00071,仕00071,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00071",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00075","",ｼ000,仕00075,仕00075,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00075",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00078","",ｼ000,仕00078,仕00078,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00078",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00086","",ｼ000,仕00086,仕00086,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00086",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00170","",ｼ001,仕00170,仕00170,"","","","","","","","","","","","","","001","000","000","0000","0000","000","000","",0,0,"00170",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",1130000.0000,537516.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00171","",ｼ001,仕00171,仕00171,"","","","","","","","","","","","","","001","000","000","0000","0000","000","000","",0,0,"00171",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",30100690.0000,18585082.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00180","",ｼ001,仕00180,仕00180,"","","","","","","","","","","","","","001","000","000","0000","0000","000","000","",0,0,"00180",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",4928000.0000,1271257.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00181","",ｼ001,仕00181,仕00181,"","","","","","","","","","","","","","001","000","000","0000","0000","000","000","",0,0,"00181",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",1931210.0000,2121584.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00300","",ｼ003,仕00300,仕00300,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00300",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00301","",ｼ003,仕00301,仕00301,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00301",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00400","",ｼ004,仕00400,仕00400,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00400",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00500","",ｼ005,仕00500,仕00500,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00500",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00600","",ｼ006,仕00600,仕00600,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00600",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00601","",ｼ006,仕00601,仕00601,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00601",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00602","",ｼ006,仕00602,仕00602,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00602",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",440.0000,33040.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00603","",ｼ006,仕00603,仕00603,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00603",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00604","",ｼ006,仕00604,仕00604,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00604",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",2118660.0000,2661455.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00611","",ｼ006,仕00611,仕00611,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00611",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00622","",ｼ006,仕00622,仕00622,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00622",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00623","",ｼ006,仕00623,仕00623,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00623",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",27500.0000,13500.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00624","",ｼ006,仕00624,仕00624,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00624",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00625","",ｼ006,仕00625,仕00625,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00625",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00626","",ｼ006,仕00626,仕00626,"","","","","","","","","","","","","","006","000","000","0000","0000","000","000","",0,0,"00626",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00627","",ｼ006,仕00627,仕00627,"","","","","","","","","","","","","","005","000","000","0000","0000","000","000","",0,0,"00627",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",1115400.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
